source,journal
Academy of Nutrition and Dietetics,Academy of Nutrition and Dietetics
ACS Chemical Biology,ACS Chemical Biology
ACS Chemical Neuroscience,ACS Chemical Neuroscience
ACS Nano,ACS Nano
"Acta Crystallographica Section D,  Biological Crystallography",Acta Crystallographica Section D
Acta Crystallographica Section D: Biological Crystallography,Acta Crystallographica Section D
Acta Crystallographica Section F: Structural Biology and Crystallization Communications,Acta Crystallographica Section F
"Acta Crystallographica, Section D",Acta Crystallographica Section D
Acta Crystallography D,Acta Crystallographica Section D
Acta D,Acta Crystallographica Section D
Acta Dermato Venereologica,Acta Dermato Venereologica
Acta Diabetologica,Acta Diabetologica
ACTA F,Acta Crystallographica Section F
Acta Neuropathol,Acta Neuropathologica
Acta Neuropathologica,Acta Neuropathologica
Acta Opthalmologica,Acta Ophthalmologica
Acta Physiol,Acta Physiologica
Addiction,Addiction
Advances in Experimental Medicine and Biology,Advances in Experimental Medicine and Biology
AGE,AGE
Age and Ageing,Age and Ageing
Ageing & Society,Ageing & Society
Aging Cell,Aging Cell
AIDS,AIDS
AIDS Behav,AIDS Behav
AIDS Care,AIDS Care
AIDS Journal,AIDS Journal
AIDS Research and Therapy,AIDS Research and Therapy
AIDS UK,AIDS UK
Alcohol and Alcoholism,Alcohol and Alcoholism
Alimentrary Pharmacology & Therapeutics,Alimentrary Pharmacology & Therapeutics
Am J Bioeth,The American Journal of Bioethics
Am J Trop Med Hyg,The American Journal of Tropical Medicine and Hygiene
Americal Journal of Psychiatry,The American Journal of Psychiatry
American Chemical Society,American Chemical Society
American Ethnologist,American Ethnologist
American Jnl Epidemiology,American Journal of Epidemiology
American Journal for Clinical Nutrition,American Journal for Clinical Nutrition
American Journal of Bioethics--Neuroscience,American Journal of Bioethics--Neuroscience
American Journal of Clinical Nutrition,American Journal of Clinical Nutrition
American Journal of Epidemiology,American Journal of Epidemiology
American Journal of Geriatric Psychiatry,American Journal of Geriatric Psychiatry
American Journal of Human Genetics,American Journal of Human Genetics
American Journal of Medical Genetics,American Journal of Medical Genetics
American Journal of Medical Genetics Part A,American Journal of Medical Genetics Part A
