,PMID,PMCID,MappedPublisher,Journal_Title,Article_Title,COST
0,,,Cambridge University Press,Psychological Medicine,Reduced parahippocampal cortical thickness in subjects at ultra-high risk for psychosis,£0.00
1,,PMC3679557,American Chemical Society Publications,Biomacromolecules,Structural characterization of a Model Gram-negative bacterial surface using lipopolysaccharides from rough strains of escherichia coli,£2381.04
2,23043264,PMC3506128,American Chemical Society Publications,J Med Chem,"Fumaroylamino-4,5-epoxymorphinans and related opioids with irreversible ? opioid receptor antagonist effects.",£642.56
3,23438330,PMC3646402,American Chemical Society Publications,J Med Chem,Orvinols with mixed kappa/mu opioid receptor agonist activity.,£669.64
4,23438216,PMC3601604,American Chemical Society Publications,J Org Chem,Regioselective opening of myo-inositol orthoesters: mechanism and synthetic utility.,£685.88
5,,PMC3579457,American Chemical Society Publications,Journal of Medicinal Chemistry,Comparative Structural and Functional Studies of 4-(Thiazol-5-yl)-2-(phenylamino) pyrimidine-5-carbonitrile CDK9 inhibitors suggest the basis for Isotype Slectivity,£2392.20
6,,PMC3709265,American Chemical Society Publications,Journal of Proteome Research,"Mapping Proteolytic Processing in the Secretome of Gastric Cancer-Associated Myofibroblasts Reveals Activation of MMP-1, MMP-2, and MMP?3",£2367.95
7,23057412,PMC3495574,American Chemical Society Publications,Mol Pharm,Quantitative silencing of EGFP reporter gene by self-assembled siRNA lipoplexes of LinOS and cholesterol.,£649.33
8,,PMC3780468,American Chemical Society Publications,ACS Chemical Biology,A Novel Allosteric Inhibitor of the Uridine Diphosphate N-Acetylglucosamine Pyrophosphorylase from Trypanosoma brucei.,£1294.59
9,,PMC3621575,American Chemical Society Publications,ACS Chemical Biology,Chemical proteomic analysis reveals the drugability of the kinome of Trypanosoma brucei.,£1294.78
10,,PMC3739413,American Chemical Society Publications,Journal of Chemical Information and Modeling,Locating Sweet Spots for Screening Hits and Evaluating Pan-Assay Interference Filters from the Performance Analysis of Two Lead-like Libraries,£1329.69
11,,PMC3530961,American Chemical Society Publications,Journal of Medicinal Chemistry,Synthesis and evaluation of ?-thymidine analogues as novel antimalarials.,£1287.20
12,,PMC3624797,American Chemical Society Publications,Journal of Medicinal Chemistry,Discovery and structure-activity relationships of pyrrolone antimalarials.,£1324.66
13,,PMC3413243,American Chemical Society Publications,Biochemistry,Monomeric 14-3-3 has a chaperone-like activity and is stabilized by phosphorylated HSpB6,£665.64
14,,PMC3694353,American Chemical Society Publications,Journal of Medicinal Chemistry,Synthesis and in vitro and in vivo characterization of highly ?1-selective ?-adrenoceptor partial agonists.,£1006.72
15,,PMC3572711,AGA Institute,Gastroenterology,Much of the genetic risk of colorectal cancer is likely to be mediated through susceptibility to adenomas,£238.08
16,22610094,,AMBSB,Journal of Biological Chemistry,Annexin-1 interaction with FPR2/ALX,£265.67
17,,PMC3586974,American Association of Immunologists,Journal of Immunology,Sialoadhesin ligand expression identifies a subset of CD4+Foxp3- T cells with a distinct activation and glycosylation profile.,£2035.00
18,23455506,PMC3607399,American Association of Immunologists,Journal of Immunology,Regulation of Foxp3+ Inducible Regulatory T Cell Stability by SOCS2,£3108.08
19,24015914,PMC3833349,American Chemical Society Publications,ACS Chemical Biology,Discovery of an allosteric inhibitor binding site in 3-oxo-acyl-ACP reductase from Pseudomonas aeruginosa,£1267.76
20,,PMC3805332,American Chemical Society Publications,ACS Chemical Biology,Synthesis of alpha-glucan in mycobacteria involves a hetero-octameric complex of trehalose synthase TreS and maltokinase Pep2,£2286.73
21,,,American Chemical Society Publications,ACS Chemical Biology,Discovery of ?2 Adrenergic Receptor Ligands Using Biosensor Fragment Screening of Tagged Wild-Type Receptor,£947.07
22,,PMC3656742,American Chemical Society Publications,ACS Chemical Neuroscience,Continuous online microdialysis using microfluidic sensors: dynamic neuro-metabolic changes during spreading depolarisation,£1186.80
23,3584654,,American Chemical Society Publications,ACS NANO,HYDROXY-TERMINATED CONJUGATED POLYMER NANOPARTICLES HAVE NEAR-UNITY BRIGHT FRACTION,£642.89
24,22971149,PMC3466778,American Chemical Society Publications,American Chemical Society,Characterizing the Fatty Acid Binding Site in the Cavity of Potassium Channel KcsA,£1533.29
25,23072351,,American Chemical Society Publications,Analytical Chemistry,Amphipathic polymers facilitate the study of functional membrane in the gas phase,£2082.74
26,,PMC3477822,American Chemical Society Publications,Analytical Chemistry,Quantitative dynamics of phosphorproteome: the devil is in the details,£2314.10
27,,PMC3530960,American Chemical Society Publications,Analytical Chemistry,Variable-Pitch Rectangular Cross-section Radiofrequency Coils for the Nitrogen-14 Nuclear Quadrupole Resonance Investigation of Sealed Medicines Packets,£759.67
28,23458425,PMC3630740,American Chemical Society Publications,Bioconjugate Chemistry,"Design, synthesis and functional activity of labelled CD'ld glycoupid agonists",£1565.26
29,20146481,,American Chemical Society Publications,Journal of Medicinal Chemistry,Toward biophysical probes for the 5-HT3 receptor: structure-activity relationship study of granisetron derivatives,£572.74
30,,PMC3504484,American Chemical Society Publications,Journal of Medicinal Chemistry,"Design, synthesis and structure-activity relationships of highly potent 5-HT3 receptor ligands",£750.66
31,23281892,PMC3579312,American Chemical Society Publications,Journal of Medicinal Chemistry,A class of 5-nitro-2-furancarboxylamides with potent trypanocidal activity against Trypanosoma brucei in vitro,£321.12
32,,PMC3411196,American Chemical Society Publications,Journal of Proteome Research,Proteomic analysis of extracellular matrix from the hepatic stellate cell line LX-2 identifies CYR61 and Wnt-5a as novel constituents of fibrotic liver,£1321.88
33,,PMC3593610,American Chemical Society Publications,Journal of the American Chemical Society,Chemical and structural analysis of an antibody folding intermediate trapped during glycan biosynthesis,£1626.14
34,23373658,,American Chemical Society Publications,ACS Nano,"Skin dendritic cell targeting via microneedle arrays laden with antigen-encapsulated poly-D,L-lactide-co-glycolide nanoparticles induces efficient antitumor and antiviral immune responses.",£693.39
35,,PMC3673662,American College of Chest Physicians,CHEST,Synthetic response of stimulated respiratory epithelium: modulation by prednisolone and iKK2 inhibition,£2383.94
36,,PMC3574980,American Physiological Society,Journal of Neurophysiology,Reliable evaluation of the quantal determinants of synaptic efficacy using Bayesian analysis,£1276.08
37,,PMC3680818,American Physiological Society,Journal of Neurophysiology,"Responses of single corticospinal neurons to intracortical stimulation of primary motor and premotor cortex in the anesthetized macaque monkey"" (JN-01080-2012R1)",£1291.02
38,,PMC3602834,American Physiological Society,Journal of Neurophysiology,Interaction of temporal and ordinal representations in movement sequences,£1319.17
39,,PMC3234094,American Physiological Society,Journal of Neurophysiology,Endogenous modulation of low frequency oscillations by temporal expectations,£1514.35
40,,PMC3653044,American Physiological Society,Journal of Neurophysiology,The effect of contextual cues on the encoding of motor memories,£1551.61
41,3472478,,American Physiological Society,Journal of Physiology,Bimodal collagen fibril diameter distributions direct age-related variations in tendon resilience and resistance to rupture,£1314.58
42,23576705,PMC3727040,American Physiological Society,The Journal of Neurophysiology,Integration of Texture and Disparity Cue to Surface Slant in Dorsal Visual Cortex,£1276.60
43,,,American Psychiatric Association Publishing,American Journal of Psychiatry,Methamphetamine-induced disruption of frontostriatal reward learning signals: relation to psychotic symptoms,£2351.73
44,23599091,,American Psychiatric Association Publishing,Americal Journal of Psychiatry,High Loading of Polygenic Risk for ADHD in Children with Comorbid Aggression,£2350.02
45,23025831,PMC3462035,American Psychological Association,Behavioral Neuroscience,Evidence that the rat hippocampus has contrasting roles in object recognition memory and object recency memory,£3021.72
46,23731076,PMC3670620,American Psychological Association,Behavioral Neuroscience,Dissociation of recognition and recency memory judgments after anterior thalamic nuclei lessions in rats,£3209.63
47,23244291,PMC3569044,American Psychological Association,Behavioral Neuroscience,The Neural Basis of Nonvisual Object Recognition,£3211.77
48,,PMC3444304,American Psychological Association,Emotion,"Subjective responses to emotional stimuli during labeling, reappraisal, and distraction ",£2534.53
49,23477577,PMC3727344,American Psychological Association,Health Psychology,Behavior change techniques used to promote walking and cycling: a systematic review,£3188.30
50,,PMC3357114,American Psychological Association,Journal of Abnormal Psychology,Lightening the Load: Perceptual Load Impairs Visual Detection in Typical Adults but not in Autism,£2534.53
51,,PMC3450431,American Psychological Association,Journal of Consulting and Clinical Psychology,"A randomized clinical trial of mindfulness-based cognitive therapy versus unrestricted services for health anxiety (hypochondriasis). 
",£3037.86
52,23668184,,American Psychological Association,Journal of Experimental Psychology:  Animal Behaviour Process,Asymmetry in the Discrimination of Length During Spatial Learning,£3144.24
53,,PMC3607463,American Psychological Association,Journal of Experimental Psychology: Human Perception and Performance,Collective enumeration,£2659.32
54,23421830,PMC3576129,American Psychological Association,Journal of Family Psychology,The nature of nuture:  Disentangling passive geneotype-environment correlation from family relationship influences on children's externalising problems,£3092.18
55,,PMC3437796,American Psychological Association,Psychological Assessment,The factor structure of the autobiographical memory test in recent trauma survivors,£2973.32
56,,PMC3444305,American Psychological Association,Psychological Review,Generalization through the recurrent interaction of episodic memories: a model of the hippocampal system,£2534.53
57,,PMC3444173,American Psychological Association,"Psychological Trauma: Theory research, practice and policy",Investigating cognitive pathways to psychopathology: predicting depression and posttraumatic stress disorder from early responses after assault,£2973.32
58,,PMC3725889,American Psychological Association,Journal of Experimental Psychology: Human Perception and Performance,Dissociable Roles of Different Types of Working Memory Load in Visual Detection,£2561.40
59,23409903,,American Public Health Association,American Journal of Public Health,Health co-benefits and transportation-related reductions in greenhouse gas emissions in the San Francisco bay area,£1422.25
60,,PMC3576085,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Understanding how noncatalytic carbohydrate binding modules can display specificity for xyloglucan,£1100.00
61,23239883,PMC3561570,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Molecular architecture and functional analysis of NetB, a pore-forming toxin from Clostridium perfringens",£2259.64
62,,PMC3481300,American Society for Biochemistry and Molecular Biology,J Biol Chem.,Structure of the BMP receptor ALK2 and implications for fibrodysplasia ossificans progressiva (Manuscript # M365932,£1487.46
63,,PMC3234852,American Society for Biochemistry and Molecular Biology,J Biol Chem.,Inhibitory member of the apoptosis-stimulating proteins of the p53 family (iASPP) interacts with protein phosphatase 1 via a noncanonical binding motif.,£1531.08
64,,PMC3642348,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Human and viral golgi anti-apoptotic protein (GAAP) oligomerize via different mechanisms and monomeric GAAP inhibits apoptosis and modulates calcium,£1019.71
65,22992744,PMC3493908,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Dynamic exchange of myosin VI on endocytic structures,£1119.61
66,,PMC3531748,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Uncoupling proteostasis and development in vitro with a small molecule inhibitor of the pancreatic endoplasmic reticulum kinase, PERK",£1131.01
67,,PMC3436574,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Structural Requirements for Recognition of Major Histocompatibility Complex Class II by Membrane-associated RING-CH (MARCH) Protein E3 Ligases,£1137.51
68,23223336,PMC3543027,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Visualization of structural changes accompanying activation of NMDA receptors using fast-scan AFM imaging,£1152.72
